First Name,Last Name Initial,Coolness,Length of First Name,Distance,is_Cool
Jessica,G,37,7,3,0
Karen,W,73,5,12,0
Lorene,X,85,6,12,1
David,C,64,5,1,0
Ricky,Z,84,5,8,1
Vernon,M,32,6,9,0
Susan,A,10,5,18,0
Melvin,W,8,6,10,0
Rosa,H,1,4,10,0
Ricky,G,98,5,11,1
Margaret,H,21,8,5,0
Robert,C,99,6,15,1
Andrew,F,38,6,5,0
Jacqueline,H,87,10,2,1
Cynthia,K,76,7,8,1
Cole,U,62,4,18,0
Michael,D,1,7,9,0
Richard,U,72,7,3,0
Fidela,Y,14,6,19,0
Anthony,Y,86,7,24,1
Jesus,J,92,5,0,1
Francis,P,39,7,10,0
Billy,X,77,5,22,1
Lance,O,13,5,3,0
Claud,M,61,5,10,0
Ruth,O,59,4,3,0
Tianna,A,42,6,19,0
Shirley,S,86,7,0,1
Wilson,O,11,6,8,0
George,J,33,6,3,0
Richard,I,28,7,9,0
Jose,C,45,4,7,0
Wilbert,R,98,7,5,1
Jackie,V,79,6,12,1
Nellie,F,61,6,8,0
Mitchell,G,18,8,6,0
Robert,S,21,6,1,0
Russell,I,40,7,9,0
Margaret,G,37,8,6,0
Richard,N,50,7,4,0
Tracy,H,51,5,12,0
Richard,T,82,7,2,1
Michael,T,18,7,7,0
Roger,X,84,5,6,1
Jacob,H,53,5,2,0
Richard,P,22,7,2,0
Don,S,7,3,15,0
Jeffrey,A,100,7,9,1
Louise,Z,60,6,14,0
Roy,Y,47,3,7,0
Bobby,M,40,5,11,0
Margaret,R,30,8,5,0
Joel,M,92,4,3,1
Ashley,I,5,6,8,0
William,N,41,7,9,0
Beulah,W,23,6,21,0
Rebecca,X,65,7,6,0
Genie,Q,58,5,10,0
Jennifer,X,0,8,14,0
Mary,Q,57,4,4,0
Cheryl,I,8,6,6,0
Holly,W,76,5,15,1
Carolyn,O,86,7,12,1
Albert,E,72,6,4,0
Ronald,X,21,6,6,0
Tomasa,R,73,6,2,0
Larry,N,10,5,2,0
Anna,D,90,4,3,1
Amanda,M,1,6,12,0
Geraldine,X,92,9,17,1
Marion,O,42,6,2,0
Johnny,I,41,6,1,0
Juan,N,85,4,4,1
Joseph,J,62,6,0,0
Joyce,A,23,5,9,0
Julie,I,90,5,1,1
Frederick,K,1,9,5,0
Vickie,V,7,6,0,0
Jennifer,G,83,8,3,1
Joel,D,65,4,6,0
Brooke,V,6,6,20,0
Carmella,W,95,8,20,1
Florence,U,52,8,15,0
Andrea,T,17,6,19,0
Susan,W,64,5,4,0
Edgar,M,30,5,8,0
Andrew,L,31,6,11,0
Chantel,E,18,7,2,0
